,Equation Number,eqn,soln,metrics
33,108,"(-1x + 2) = ((-3) + -4x)
","(-1x + 2) = ((-3) + -4x)
|((-1x + 2) - 2) = (((-3) + -4x) - 2)|(((-1x + 2) - 2) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + (2 - 2)) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + 0) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + 0) - -4x) = ((((-3) + -4x) - -4x) - 2)|((-1x + 0) - -4x) = (((-3) + (-4x - -4x)) - 2)|((-1x + 0) - -4x) = (((-3) + 0) - 2)|((-1x + 0) - -4x) = ((-3) - 2)|(-1x - -4x) = ((-3) - 2)|(((-1) - (-4)) * x) = ((-3) - 2)|3x = ((-3) - 2)|(x * 3) = ((-3) - 2)|((x * 3) / 3) = (((-3) - 2) / 3)|(x * (3 / 3)) = (((-3) - 2) / 3)|(x * 1) = (((-3) - 2) / 3)|x = (((-3) - 2) / 3)|x = ((-5) / 3)|x = ([-5/3])",34
34,9,"(-1x / x) = -2x
","(-1x / x) = -2x
|((-1x / x) / (-2)) = (-2x / (-2))|((-1x / x) / (-2)) = ((x * (-2)) / (-2))|((x * (-2)) / (-2)) = ((-1x / x) / (-2))|(x * ((-2) / (-2))) = ((-1x / x) / (-2))|(x * 1) = ((-1x / x) / (-2))|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]",18
35,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",28
36,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",28
37,266,"(1x + (-2)) = 3
","(1x + (-2)) = 3
|((1x + (-2)) - (-2)) = (3 - (-2))|(1x + ((-2) - (-2))) = (3 - (-2))|(1x + 0) = (3 - (-2))|(1x + 0) = 5|1x = 5|x = 5",11
38,243,"(1x + 2) = (3 + -4x)
","(1x + 2) = (3 + -4x)
|((1x + 2) - 2) = ((3 + -4x) - 2)|(((1x + 2) - 2) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + (2 - 2)) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((-4x + 3) - 2) - -4x)|((1x + 0) - -4x) = ((-4x + (3 - 2)) - -4x)|((1x + 0) - -4x) = (((3 - 2) + -4x) - -4x)|((1x + 0) - -4x) = ((3 - 2) + (-4x - -4x))|((1x + 0) - -4x) = ((3 - 2) + 0)|((1x + 0) - -4x) = (3 - 2)|(1x - -4x) = (3 - 2)|((1 - (-4)) * x) = (3 - 2)|5x = (3 - 2)|(x * 5) = (3 - 2)|(x * 5) = 1|((x * 5) / 5) = (1 / 5)|(x * (5 / 5)) = (1 / 5)|(x * 1) = (1 / 5)|x = (1 / 5)|x = [1/5]",38
39,243,"(1x + 2) = (3 + -4x)
","(1x + 2) = (3 + -4x)
|((1x + 2) - 2) = ((3 + -4x) - 2)|(((1x + 2) - 2) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + (2 - 2)) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((-4x + 3) - 2) - -4x)|((1x + 0) - -4x) = ((-4x + (3 - 2)) - -4x)|((1x + 0) - -4x) = (((3 - 2) + -4x) - -4x)|((1x + 0) - -4x) = ((3 - 2) + (-4x - -4x))|((1x + 0) - -4x) = ((3 - 2) + 0)|((1x + 0) - -4x) = (3 - 2)|(1x - -4x) = (3 - 2)|((1 - (-4)) * x) = (3 - 2)|5x = (3 - 2)|(x * 5) = (3 - 2)|(x * 5) = 1|((x * 5) / 5) = (1 / 5)|(x * (5 / 5)) = (1 / 5)|(x * 1) = (1 / 5)|x = (1 / 5)|x = [1/5]",38
40,3,"(-1x + (-2)) = (-3x + (-4))
","(-1x + (-2)) = (-3x + (-4))
|((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|(-1x + ((-2) - (-2))) = ((-3x + (-4)) - (-2))|(-1x + ((-2) - (-2))) = (((-4) + -3x) - (-2))|(-1x + 0) = (((-4) + -3x) - (-2))|((-1x + 0) - -3x) = ((((-4) + -3x) - (-2)) - -3x)|((-1x + 0) - -3x) = ((((-4) + -3x) - -3x) - (-2))|((-1x + 0) - -3x) = (((-4) + (-3x - -3x)) - (-2))|((-1x + 0) - -3x) = (((-4) + 0) - (-2))|((-1x + 0) - -3x) = ((-4) - (-2))|(-1x - -3x) = ((-4) - (-2))|(((-1) - (-3)) * x) = ((-4) - (-2))|2x = ((-4) - (-2))|(x * 2) = ((-4) - (-2))|((x * 2) / 2) = (((-4) - (-2)) / 2)|(x * (2 / 2)) = (((-4) - (-2)) / 2)|(x * 1) = (((-4) - (-2)) / 2)|x = (((-4) - (-2)) / 2)|x = ((-2) / 2)|x = (-1)",36
41,125,"(-1) = ((2 / x) + (-3))
","(-1) = ((2 / x) + (-3))
|((-1) - (-3)) = (((2 / x) + (-3)) - (-3))|2 = (((2 / x) + (-3)) - (-3))|(2 / 2) = ((((2 / x) + (-3)) - (-3)) / 2)|((2 / 2) * x) = (((((2 / x) + (-3)) - (-3)) / 2) * x)|1x = (((((2 / x) + (-3)) - (-3)) / 2) * x)|x = (((((2 / x) + (-3)) - (-3)) / 2) * x)|x = ((((2 / x) + ((-3) - (-3))) / 2) * x)|x = ((((2 / x) + 0) / 2) * x)|x = (((2 / x) / 2) * x)|x = (x * ((2 / x) / 2))|x = ((x * (2 / x)) / 2)|x = (((x * 2) / x) / 2)|x = ((2x / x) / 2)|x = ((2 * (x / x)) / 2)|x = ((2 * 1) / 2)|x = (2 / 2)|x = 1",38
42,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(((-1) + 2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + 2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + 2x) - (-4))|(-3x + 0) = (((-1) + 2x) - (-4))|((-3x + 0) - 2x) = ((((-1) + 2x) - (-4)) - 2x)|((-3x + 0) - 2x) = ((((-1) + 2x) - 2x) - (-4))|((-3x + 0) - 2x) = (((-1) + (2x - 2x)) - (-4))|((-3x + 0) - 2x) = (((-1) + 0) - (-4))|((-3x + 0) - 2x) = ((-1) - (-4))|(-3x - 2x) = ((-1) - (-4))|(((-3) - 2) * x) = ((-1) - (-4))|-5x = ((-1) - (-4))|(x * (-5)) = ((-1) - (-4))|(x * (-5)) = 3|((x * (-5)) / (-5)) = (3 / (-5))|(x * ((-5) / (-5))) = (3 / (-5))|(x * 1) = (3 / (-5))|x = (3 / (-5))|x = ([-3/5])",35
43,256,"(1 / x) = (-2)
","(1 / x) = (-2)
|((1 / x) / (-2)) = ((-2) / (-2))|(((1 / x) / (-2)) * x) = (((-2) / (-2)) * x)|(((1 / x) / (-2)) * x) = 1x|(x * ((1 / x) / (-2))) = 1x|((x * (1 / x)) / (-2)) = 1x|(((x * 1) / x) / (-2)) = 1x|(((x * 1) / x) / (-2)) = x|x = (((x * 1) / x) / (-2))|x = ((x / x) / (-2))|x = (1 / (-2))|x = ([-1/2])",30
44,105,"1x = 2
","1x = 2
|x = 2",2
45,101,"((1 + 2x) - 3) = -4x
","((1 + 2x) - 3) = -4x
|(((1 + 2x) - 3) - 2x) = (-4x - 2x)|(-4x - 2x) = (((1 + 2x) - 3) - 2x)|(((-4) - 2) * x) = (((1 + 2x) - 3) - 2x)|(((-4) - 2) * x) = (((1 + 2x) - 2x) - 3)|(((-4) - 2) * x) = ((1 + (2x - 2x)) - 3)|(((-4) - 2) * x) = ((1 + 0) - 3)|(((-4) - 2) * x) = (1 - 3)|-6x = (1 - 3)|(x * (-6)) = (1 - 3)|((x * (-6)) / (-6)) = ((1 - 3) / (-6))|(x * ((-6) / (-6))) = ((1 - 3) / (-6))|(x * 1) = ((1 - 3) / (-6))|x = ((1 - 3) / (-6))|x = ((-2) / (-6))|x = [1/3]",31
46,254,"(-1x + (-2)) = (-3x + 4)
","(-1x + (-2)) = (-3x + 4)
|((-1x + (-2)) - (-2)) = ((-3x + 4) - (-2))|(-1x + ((-2) - (-2))) = ((-3x + 4) - (-2))|(-1x + ((-2) - (-2))) = ((4 + -3x) - (-2))|(-1x + 0) = ((4 + -3x) - (-2))|((-1x + 0) - -3x) = (((4 + -3x) - (-2)) - -3x)|((-1x + 0) - -3x) = (((4 + -3x) - -3x) - (-2))|((-1x + 0) - -3x) = ((4 + (-3x - -3x)) - (-2))|((-1x + 0) - -3x) = ((4 + 0) - (-2))|(-1x - -3x) = ((4 + 0) - (-2))|(((-1) - (-3)) * x) = ((4 + 0) - (-2))|2x = ((4 + 0) - (-2))|2x = (4 - (-2))|(2x / 2) = ((4 - (-2)) / 2)|((x * 2) / 2) = ((4 - (-2)) / 2)|(x * (2 / 2)) = ((4 - (-2)) / 2)|(x * 1) = ((4 - (-2)) / 2)|x = ((4 - (-2)) / 2)|x = (6 / 2)|x = 3",36
47,247,"(-1x - 2x) = ((-3) + 4)
","(-1x - 2x) = ((-3) + 4)
|(((-1) - 2) * x) = ((-3) + 4)|-3x = ((-3) + 4)|(x * (-3)) = ((-3) + 4)|(x * (-3)) = 1|((x * (-3)) / (-3)) = (1 / (-3))|(x * ((-3) / (-3))) = (1 / (-3))|(x * 1) = (1 / (-3))|x = (1 / (-3))|x = ([-1/3])",19
48,241,"(1 + 2x) = ((-3) + -4x)
","(1 + 2x) = ((-3) + -4x)
|((1 + 2x) - -4x) = (((-3) + -4x) - -4x)|(((1 + 2x) - -4x) - (-4)) = ((((-3) + -4x) - -4x) - (-4))|(((1 + 2x) - (-4)) - -4x) = ((((-3) + -4x) - -4x) - (-4))|((1 + (2x - (-4))) - -4x) = ((((-3) + -4x) - -4x) - (-4))|((1 + (2x - (-4))) - -4x) = (((-3) + (-4x - -4x)) - (-4))|((1 + (2x - (-4))) - -4x) = (((-3) + 0) - (-4))|((1 + (2x - (-4))) - -4x) = ((-3) - (-4))|(((1 + 2x) - (-4)) - -4x) = ((-3) - (-4))|(((2x + 1) - (-4)) - -4x) = ((-3) - (-4))|((2x + (1 - (-4))) - -4x) = ((-3) - (-4))|(((1 - (-4)) + 2x) - -4x) = ((-3) - (-4))|((1 - (-4)) + (2x - -4x)) = ((-3) - (-4))|((1 - (-4)) + ((2 - (-4)) * x)) = ((-3) - (-4))|((1 - (-4)) + 6x) = ((-3) - (-4))|(5 + 6x) = ((-3) - (-4))|(6x + 5) = ((-3) - (-4))|((6x + 5) - 5) = (((-3) - (-4)) - 5)|(((6x + 5) - 5) / 6) = ((((-3) - (-4)) - 5) / 6)|((6x + (5 - 5)) / 6) = ((((-3) - (-4)) - 5) / 6)|(((x * 6) + (5 - 5)) / 6) = ((((-3) - (-4)) - 5) / 6)|(((x * 6) + (5 - 5)) / 6) = ((1 - 5) / 6)|(((x * 6) + 0) / 6) = ((1 - 5) / 6)|((x * 6) / 6) = ((1 - 5) / 6)|(x * (6 / 6)) = ((1 - 5) / 6)|(x * 1) = ((1 - 5) / 6)|x = ((1 - 5) / 6)|x = ((-4) / 6)|x = ([-2/3])",50
49,230,"(1 + ((-2) / x)) = 3
","(1 + ((-2) / x)) = 3
|(((-2) / x) + 1) = 3|((((-2) / x) + 1) - 1) = (3 - 1)|((((-2) / x) + 1) - 1) = 2|(((-2) / x) + (1 - 1)) = 2|(((-2) / x) + 0) = 2|((((-2) / x) + 0) / 2) = (2 / 2)|(((((-2) / x) + 0) / 2) * x) = ((2 / 2) * x)|((((-2) / x) / 2) * x) = ((2 / 2) * x)|((((-2) / x) / 2) * x) = 1x|(x * (((-2) / x) / 2)) = 1x|((x * ((-2) / x)) / 2) = 1x|(((x * (-2)) / x) / 2) = 1x|((-2x / x) / 2) = 1x|(((-2) * (x / x)) / 2) = 1x|(((-2) * 1) / 2) = 1x|(((-2) * 1) / 2) = x|x = (((-2) * 1) / 2)|x = ((-2) / 2)|x = (-1)",43
50,59,"(((-1) / x) + 2) = 3
","(((-1) / x) + 2) = 3
|((((-1) / x) + 2) - 2) = (3 - 2)|(((-1) / x) + (2 - 2)) = (3 - 2)|(((-1) / x) + 0) = (3 - 2)|(((-1) / x) + 0) = 1|((((-1) / x) + 0) * x) = 1x|(x * (((-1) / x) + 0)) = 1x|(x * ((-1) / x)) = 1x|((x * (-1)) / x) = 1x|(-1x / x) = 1x|((-1) * (x / x)) = 1x|((x / x) * (-1)) = 1x|(1 * (-1)) = 1x|1x = (1 * (-1))|x = (1 * (-1))|x = (-1)",29
51,75,"((-1) + -2x) = (-3x + 4)
","((-1) + -2x) = (-3x + 4)
|(((-1) + -2x) - 4) = ((-3x + 4) - 4)|((-3x + 4) - 4) = (((-1) + -2x) - 4)|(((-3x + 4) - 4) - -2x) = ((((-1) + -2x) - 4) - -2x)|((-3x + (4 - 4)) - -2x) = ((((-1) + -2x) - 4) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - 4) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - -2x) - 4)|((-3x + 0) - -2x) = (((-1) + (-2x - -2x)) - 4)|((-3x + 0) - -2x) = (((-1) + 0) - 4)|((-3x + 0) - -2x) = ((-1) - 4)|(-3x - -2x) = ((-1) - 4)|(((-3) - (-2)) * x) = ((-1) - 4)|-1x = ((-1) - 4)|(x * (-1)) = ((-1) - 4)|((x * (-1)) * (-1)) = (((-1) - 4) * (-1))|(x * ((-1) * (-1))) = (((-1) - 4) * (-1))|(x * 1) = (((-1) - 4) * (-1))|x = (((-1) - 4) * (-1))|x = ((-5) * (-1))|x = 5",36
52,181,"(1x + 2) = (3x + (-4))
","(1x + 2) = (3x + (-4))
|((1x + 2) - 2) = ((3x + (-4)) - 2)|(1x + (2 - 2)) = ((3x + (-4)) - 2)|(1x + (2 - 2)) = (3x + ((-4) - 2))|(1x + (2 - 2)) = (((-4) - 2) + 3x)|(1x + 0) = (((-4) - 2) + 3x)|1x = (((-4) - 2) + 3x)|(1x - 3x) = ((((-4) - 2) + 3x) - 3x)|((1 - 3) * x) = ((((-4) - 2) + 3x) - 3x)|((1 - 3) * x) = (((-4) - 2) + (3x - 3x))|-2x = (((-4) - 2) + (3x - 3x))|-2x = (((-4) - 2) + 0)|(-2x / (-2)) = ((((-4) - 2) + 0) / (-2))|((x * (-2)) / (-2)) = ((((-4) - 2) + 0) / (-2))|(x * ((-2) / (-2))) = ((((-4) - 2) + 0) / (-2))|(x * 1) = ((((-4) - 2) + 0) / (-2))|x = ((((-4) - 2) + 0) / (-2))|x = (((-4) - 2) / (-2))|x = ((-6) / (-2))|x = 3",36
53,91,"1 = ((2 / x) + (-3))
","1 = ((2 / x) + (-3))
|(1 - (-3)) = (((2 / x) + (-3)) - (-3))|4 = (((2 / x) + (-3)) - (-3))|(4 / 4) = ((((2 / x) + (-3)) - (-3)) / 4)|((4 / 4) * x) = (((((2 / x) + (-3)) - (-3)) / 4) * x)|1x = (((((2 / x) + (-3)) - (-3)) / 4) * x)|x = (((((2 / x) + (-3)) - (-3)) / 4) * x)|x = ((((2 / x) + ((-3) - (-3))) / 4) * x)|x = ((((2 / x) + 0) / 4) * x)|x = (x * (((2 / x) + 0) / 4))|x = ((x * ((2 / x) + 0)) / 4)|x = ((x * (2 / x)) / 4)|x = (((x * 2) / x) / 4)|x = ((2x / x) / 4)|x = ((2 * (x / x)) / 4)|x = ((2 * 1) / 4)|x = (2 / 4)|x = [1/2]",37
54,237,"-1x = (((-2) + -3x) - 4)
","-1x = (((-2) + -3x) - 4)
|(-1x - -3x) = ((((-2) + -3x) - 4) - -3x)|(((-1) - (-3)) * x) = ((((-2) + -3x) - 4) - -3x)|2x = ((((-2) + -3x) - 4) - -3x)|2x = ((((-2) + -3x) - -3x) - 4)|2x = (((-2) + (-3x - -3x)) - 4)|(x * 2) = (((-2) + (-3x - -3x)) - 4)|((x * 2) / 2) = ((((-2) + (-3x - -3x)) - 4) / 2)|((x * 2) / 2) = ((((-2) + 0) - 4) / 2)|((x * 2) / 2) = (((-2) - 4) / 2)|(x * (2 / 2)) = (((-2) - 4) / 2)|(x * 1) = (((-2) - 4) / 2)|x = (((-2) - 4) / 2)|x = ((-6) / 2)|x = (-3)",28
55,237,"-1x = (((-2) + -3x) - 4)
","-1x = (((-2) + -3x) - 4)
|(-1x - -3x) = ((((-2) + -3x) - 4) - -3x)|(((-1) - (-3)) * x) = ((((-2) + -3x) - 4) - -3x)|2x = ((((-2) + -3x) - 4) - -3x)|2x = ((((-2) + -3x) - -3x) - 4)|2x = (((-2) + (-3x - -3x)) - 4)|(x * 2) = (((-2) + (-3x - -3x)) - 4)|((x * 2) / 2) = ((((-2) + (-3x - -3x)) - 4) / 2)|((x * 2) / 2) = ((((-2) + 0) - 4) / 2)|((x * 2) / 2) = (((-2) - 4) / 2)|(x * (2 / 2)) = (((-2) - 4) / 2)|(x * 1) = (((-2) - 4) / 2)|x = (((-2) - 4) / 2)|x = ((-6) / 2)|x = (-3)",28
56,5,"(1x - 2) = -3x
","(1x - 2) = -3x
|((1x - 2) - 1x) = (-3x - 1x)|(-3x - 1x) = ((1x - 2) - 1x)|(((-3) - 1) * x) = ((1x - 2) - 1x)|(((-3) - 1) * x) = ((1x - 1x) - 2)|(((-3) - 1) * x) = (0 - 2)|-4x = (0 - 2)|(x * (-4)) = (0 - 2)|((x * (-4)) / (-4)) = ((0 - 2) / (-4))|(x * ((-4) / (-4))) = ((0 - 2) / (-4))|(x * 1) = ((0 - 2) / (-4))|x = ((0 - 2) / (-4))|x = ((-2) / (-4))|x = [1/2]",26
57,172,"(-1) = (2x + 3)
","(-1) = (2x + 3)
|((-1) - 3) = ((2x + 3) - 3)|((2x + 3) - 3) = ((-1) - 3)|(2x + (3 - 3)) = ((-1) - 3)|((2x + (3 - 3)) / 2) = (((-1) - 3) / 2)|(((x * 2) + (3 - 3)) / 2) = (((-1) - 3) / 2)|(((x * 2) + 0) / 2) = (((-1) - 3) / 2)|((x * 2) / 2) = (((-1) - 3) / 2)|(x * (2 / 2)) = (((-1) - 3) / 2)|(x * 1) = (((-1) - 3) / 2)|x = (((-1) - 3) / 2)|x = ((-4) / 2)|x = (-2)",23
