,Equation Number,eqn,soln,metrics
58,248,"((-1x + 2) + 3) = -4x
","((-1x + 2) + 3) = -4x
|(((-1x + 2) + 3) - -1x) = (-4x - -1x)|(((-1x + 2) + 3) - -1x) = (((-4) - (-1)) * x)|((-1x + (2 + 3)) - -1x) = (((-4) - (-1)) * x)|(((2 + 3) + -1x) - -1x) = (((-4) - (-1)) * x)|((2 + 3) + (-1x - -1x)) = (((-4) - (-1)) * x)|(((-4) - (-1)) * x) = ((2 + 3) + (-1x - -1x))|-3x = ((2 + 3) + (-1x - -1x))|(x * (-3)) = ((2 + 3) + (-1x - -1x))|((x * (-3)) / (-3)) = (((2 + 3) + (-1x - -1x)) / (-3))|((x * (-3)) / (-3)) = (((2 + 3) + 0) / (-3))|(x * ((-3) / (-3))) = (((2 + 3) + 0) / (-3))|(x * 1) = (((2 + 3) + 0) / (-3))|x = (((2 + 3) + 0) / (-3))|x = ((2 + 3) / (-3))|x = (5 / (-3))|x = ([-5/3])",31
59,235,"(-1) = 2x
","(-1) = 2x
|2x = (-1)|(2x / 2) = ((-1) / 2)|((x * 2) / 2) = ((-1) / 2)|(x * (2 / 2)) = ((-1) / 2)|(x * 1) = ((-1) / 2)|x = ((-1) / 2)|x = ([-1/2])",12
60,0,"(1 / 2) = x
","(1 / 2) = x
|x = (1 / 2)|x = [1/2]",4
61,0,"(1 / 2) = x
","(1 / 2) = x
|x = (1 / 2)|x = [1/2]",4
62,273,"x = ((-1) / 2)
","x = ((-1) / 2)
|x = ([-1/2])",2
63,80,"(1x + (-2)) = ((-3) + -4x)
","(1x + (-2)) = ((-3) + -4x)
|((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|(1x + ((-2) - (-2))) = (((-3) + -4x) - (-2))|(1x + 0) = (((-3) + -4x) - (-2))|((1x + 0) - -4x) = ((((-3) + -4x) - (-2)) - -4x)|((1x + 0) - -4x) = (((-4x + (-3)) - (-2)) - -4x)|((1x + 0) - -4x) = ((-4x + ((-3) - (-2))) - -4x)|((1x + 0) - -4x) = ((((-3) - (-2)) + -4x) - -4x)|((1x + 0) - -4x) = (((-3) - (-2)) + (-4x - -4x))|((1x + 0) - -4x) = (((-3) - (-2)) + 0)|((1x + 0) - -4x) = ((-3) - (-2))|(1x - -4x) = ((-3) - (-2))|((1 - (-4)) * x) = ((-3) - (-2))|5x = ((-3) - (-2))|(5x / 5) = (((-3) - (-2)) / 5)|((x * 5) / 5) = (((-3) - (-2)) / 5)|(x * (5 / 5)) = (((-3) - (-2)) / 5)|(x * 1) = (((-3) - (-2)) / 5)|x = (((-3) - (-2)) / 5)|x = ((-1) / 5)|x = ([-1/5])",38
64,80,"(1x + (-2)) = ((-3) + -4x)
","(1x + (-2)) = ((-3) + -4x)
|((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|(1x + ((-2) - (-2))) = (((-3) + -4x) - (-2))|(1x + 0) = (((-3) + -4x) - (-2))|((1x + 0) - -4x) = ((((-3) + -4x) - (-2)) - -4x)|((1x + 0) - -4x) = (((-4x + (-3)) - (-2)) - -4x)|((1x + 0) - -4x) = ((-4x + ((-3) - (-2))) - -4x)|((1x + 0) - -4x) = ((((-3) - (-2)) + -4x) - -4x)|((1x + 0) - -4x) = (((-3) - (-2)) + (-4x - -4x))|((1x + 0) - -4x) = (((-3) - (-2)) + 0)|((1x + 0) - -4x) = ((-3) - (-2))|(1x - -4x) = ((-3) - (-2))|((1 - (-4)) * x) = ((-3) - (-2))|5x = ((-3) - (-2))|(5x / 5) = (((-3) - (-2)) / 5)|((x * 5) / 5) = (((-3) - (-2)) / 5)|(x * (5 / 5)) = (((-3) - (-2)) / 5)|(x * 1) = (((-3) - (-2)) / 5)|x = (((-3) - (-2)) / 5)|x = ((-1) / 5)|x = ([-1/5])",38
65,158,"(-1) = (((-2) / x) + 3)
","(-1) = (((-2) / x) + 3)
|((-1) - 3) = ((((-2) / x) + 3) - 3)|(-4) = ((((-2) / x) + 3) - 3)|((-4) / (-4)) = (((((-2) / x) + 3) - 3) / (-4))|(((-4) / (-4)) * x) = ((((((-2) / x) + 3) - 3) / (-4)) * x)|1x = ((((((-2) / x) + 3) - 3) / (-4)) * x)|x = ((((((-2) / x) + 3) - 3) / (-4)) * x)|x = (((((-2) / x) + (3 - 3)) / (-4)) * x)|x = (((((-2) / x) + 0) / (-4)) * x)|x = (x * ((((-2) / x) + 0) / (-4)))|x = ((x * (((-2) / x) + 0)) / (-4))|x = ((x * ((-2) / x)) / (-4))|x = (((x * (-2)) / x) / (-4))|x = ((-2x / x) / (-4))|x = (((-2) * (x / x)) / (-4))|x = (((-2) * 1) / (-4))|x = ((-2) / (-4))|x = [1/2]",37
66,135,"(1 + (2 / x)) = 3
","(1 + (2 / x)) = 3
|((2 / x) + 1) = 3|(((2 / x) + 1) - 1) = (3 - 1)|(((2 / x) + 1) - 1) = 2|((2 / x) + (1 - 1)) = 2|((2 / x) + 0) = 2|(2 / x) = 2|((2 / x) / 2) = (2 / 2)|(((2 / x) / 2) * x) = ((2 / 2) * x)|(((2 / x) / 2) * x) = 1x|(x * ((2 / x) / 2)) = 1x|((x * (2 / x)) / 2) = 1x|((x * (2 / x)) / 2) = x|x = ((x * (2 / x)) / 2)|x = (((x * 2) / x) / 2)|x = ((2x / x) / 2)|x = ((2 * (x / x)) / 2)|x = ((2 * 1) / 2)|x = (2 / 2)|x = 1",45
67,26,"(1 + -2x) = ((-3) + -4x)
","(1 + -2x) = ((-3) + -4x)
|((1 + -2x) - -4x) = (((-3) + -4x) - -4x)|((1 + -2x) - -4x) = ((-3) + (-4x - -4x))|((1 + -2x) - -4x) = ((-3) + 0)|(1 + (-2x - -4x)) = ((-3) + 0)|((-2x - -4x) + 1) = ((-3) + 0)|((((-2) - (-4)) * x) + 1) = ((-3) + 0)|(((((-2) - (-4)) * x) + 1) - 1) = (((-3) + 0) - 1)|(((((-2) - (-4)) * x) + 1) - 1) = ((-3) - 1)|((((-2) - (-4)) * x) + (1 - 1)) = ((-3) - 1)|((((-2) - (-4)) * x) + 0) = ((-3) - 1)|(((-2) - (-4)) * x) = ((-3) - 1)|2x = ((-3) - 1)|(2x / 2) = (((-3) - 1) / 2)|((x * 2) / 2) = (((-3) - 1) / 2)|(x * (2 / 2)) = (((-3) - 1) / 2)|(x * 1) = (((-3) - 1) / 2)|x = (((-3) - 1) / 2)|x = ((-4) / 2)|x = (-2)",38
68,170,"1 = (-2x + 3)
","1 = (-2x + 3)
|(1 - 3) = ((-2x + 3) - 3)|((-2x + 3) - 3) = (1 - 3)|(-2x + (3 - 3)) = (1 - 3)|((x * (-2)) + (3 - 3)) = (1 - 3)|((x * (-2)) + 0) = (1 - 3)|(x * (-2)) = (1 - 3)|((x * (-2)) / (-2)) = ((1 - 3) / (-2))|(x * ((-2) / (-2))) = ((1 - 3) / (-2))|(x * 1) = ((1 - 3) / (-2))|x = ((1 - 3) / (-2))|x = ((-2) / (-2))|x = 1",23
69,170,"1 = (-2x + 3)
","1 = (-2x + 3)
|(1 - 3) = ((-2x + 3) - 3)|((-2x + 3) - 3) = (1 - 3)|(-2x + (3 - 3)) = (1 - 3)|((x * (-2)) + (3 - 3)) = (1 - 3)|((x * (-2)) + 0) = (1 - 3)|(x * (-2)) = (1 - 3)|((x * (-2)) / (-2)) = ((1 - 3) / (-2))|(x * ((-2) / (-2))) = ((1 - 3) / (-2))|(x * 1) = ((1 - 3) / (-2))|x = ((1 - 3) / (-2))|x = ((-2) / (-2))|x = 1",23
70,170,"1 = (-2x + 3)
","1 = (-2x + 3)
|(1 - 3) = ((-2x + 3) - 3)|((-2x + 3) - 3) = (1 - 3)|(-2x + (3 - 3)) = (1 - 3)|((x * (-2)) + (3 - 3)) = (1 - 3)|((x * (-2)) + 0) = (1 - 3)|(x * (-2)) = (1 - 3)|((x * (-2)) / (-2)) = ((1 - 3) / (-2))|(x * ((-2) / (-2))) = ((1 - 3) / (-2))|(x * 1) = ((1 - 3) / (-2))|x = ((1 - 3) / (-2))|x = ((-2) / (-2))|x = 1",23
71,56,"((-1) + -2x) = (3 + -4x)
","((-1) + -2x) = (3 + -4x)
|(((-1) + -2x) - -4x) = ((3 + -4x) - -4x)|((3 + -4x) - -4x) = (((-1) + -2x) - -4x)|(3 + (-4x - -4x)) = (((-1) + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = (((-1) + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = ((-1) + (-2x - -4x))|(3 + (((-4) - (-4)) * x)) = ((-1) + (((-2) - (-4)) * x))|(3 + (((-4) - (-4)) * x)) = ((((-2) - (-4)) * x) + (-1))|(3 + (-4x - -4x)) = ((((-2) - (-4)) * x) + (-1))|((3 + (-4x - -4x)) - (-1)) = (((((-2) - (-4)) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = (((((-2) - (-4)) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = ((((-2) - (-4)) * x) + ((-1) - (-1)))|((3 + 0) - (-1)) = ((((-2) - (-4)) * x) + 0)|((((-2) - (-4)) * x) + 0) = ((3 + 0) - (-1))|((((-2) - (-4)) * x) + 0) = (3 - (-1))|(((-2) - (-4)) * x) = (3 - (-1))|2x = (3 - (-1))|(2x / 2) = ((3 - (-1)) / 2)|((x * 2) / 2) = ((3 - (-1)) / 2)|(x * (2 / 2)) = ((3 - (-1)) / 2)|(x * 1) = ((3 - (-1)) / 2)|x = ((3 - (-1)) / 2)|x = (4 / 2)|x = 2",44
72,56,"((-1) + -2x) = (3 + -4x)
","((-1) + -2x) = (3 + -4x)
|(((-1) + -2x) - -4x) = ((3 + -4x) - -4x)|((3 + -4x) - -4x) = (((-1) + -2x) - -4x)|(3 + (-4x - -4x)) = (((-1) + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = (((-1) + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = ((-1) + (-2x - -4x))|(3 + (((-4) - (-4)) * x)) = ((-1) + (((-2) - (-4)) * x))|(3 + (((-4) - (-4)) * x)) = ((((-2) - (-4)) * x) + (-1))|(3 + (-4x - -4x)) = ((((-2) - (-4)) * x) + (-1))|((3 + (-4x - -4x)) - (-1)) = (((((-2) - (-4)) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = (((((-2) - (-4)) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = ((((-2) - (-4)) * x) + ((-1) - (-1)))|((3 + 0) - (-1)) = ((((-2) - (-4)) * x) + 0)|((((-2) - (-4)) * x) + 0) = ((3 + 0) - (-1))|((((-2) - (-4)) * x) + 0) = (3 - (-1))|(((-2) - (-4)) * x) = (3 - (-1))|2x = (3 - (-1))|(2x / 2) = ((3 - (-1)) / 2)|((x * 2) / 2) = ((3 - (-1)) / 2)|(x * (2 / 2)) = ((3 - (-1)) / 2)|(x * 1) = ((3 - (-1)) / 2)|x = ((3 - (-1)) / 2)|x = (4 / 2)|x = 2",44
73,107,"(1x + 2) = ((-3) + 4x)
","(1x + 2) = ((-3) + 4x)
|((1x + 2) - 2) = (((-3) + 4x) - 2)|(((1x + 2) - 2) - 4x) = ((((-3) + 4x) - 2) - 4x)|((1x + (2 - 2)) - 4x) = ((((-3) + 4x) - 2) - 4x)|((1x + 0) - 4x) = ((((-3) + 4x) - 2) - 4x)|((1x + 0) - 4x) = ((((-3) + 4x) - 4x) - 2)|((1x + 0) - 4x) = (((-3) + (4x - 4x)) - 2)|((1x + 0) - 4x) = (((-3) + 0) - 2)|((1x + 0) - 4x) = ((-3) - 2)|(1x - 4x) = ((-3) - 2)|((1 - 4) * x) = ((-3) - 2)|-3x = ((-3) - 2)|(x * (-3)) = ((-3) - 2)|((x * (-3)) / (-3)) = (((-3) - 2) / (-3))|(x * ((-3) / (-3))) = (((-3) - 2) / (-3))|(x * 1) = (((-3) - 2) / (-3))|x = (((-3) - 2) / (-3))|x = ((-5) / (-3))|x = [5/3]",34
74,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(((-1) + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + -2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + -2x) - (-4))|(-3x + 0) = (((-1) + -2x) - (-4))|((-3x + 0) - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((-1) + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = (((-1) + 0) - (-4))|((-3x + 0) - -2x) = ((-1) - (-4))|(-3x - -2x) = ((-1) - (-4))|(((-3) - (-2)) * x) = ((-1) - (-4))|-1x = ((-1) - (-4))|(x * (-1)) = ((-1) - (-4))|((x * (-1)) * (-1)) = (((-1) - (-4)) * (-1))|(x * ((-1) * (-1))) = (((-1) - (-4)) * (-1))|(x * 1) = (((-1) - (-4)) * (-1))|(x * 1) = (3 * (-1))|x = (3 * (-1))|x = (-3)",36
75,64,"((-1x - 2) + 3) = 4x
","((-1x - 2) + 3) = 4x
|(3 + (-1x - 2)) = 4x|((3 + (-1x - 2)) - -1x) = (4x - -1x)|((3 + (-1x - 2)) - -1x) = ((4 - (-1)) * x)|(3 + ((-1x - 2) - -1x)) = ((4 - (-1)) * x)|((4 - (-1)) * x) = (3 + ((-1x - 2) - -1x))|((4 - (-1)) * x) = (3 + ((-1x - -1x) - 2))|5x = (3 + ((-1x - -1x) - 2))|(5x / 5) = ((3 + ((-1x - -1x) - 2)) / 5)|((x * 5) / 5) = ((3 + ((-1x - -1x) - 2)) / 5)|((x * 5) / 5) = ((3 + (0 - 2)) / 5)|(x * (5 / 5)) = ((3 + (0 - 2)) / 5)|(x * 1) = ((3 + (0 - 2)) / 5)|x = ((3 + (0 - 2)) / 5)|x = ((3 + (-2)) / 5)|x = (1 / 5)|x = [1/5]",32
76,177,"(1x / x) = 2x
","(1x / x) = 2x
|((1x / x) / 2) = (2x / 2)|(2x / 2) = ((1x / x) / 2)|((x * 2) / 2) = ((1x / x) / 2)|(x * (2 / 2)) = ((1x / x) / 2)|(x * 1) = ((1x / x) / 2)|x = ((1x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",16
77,177,"(1x / x) = 2x
","(1x / x) = 2x
|((1x / x) / 2) = (2x / 2)|(2x / 2) = ((1x / x) / 2)|((x * 2) / 2) = ((1x / x) / 2)|(x * (2 / 2)) = ((1x / x) / 2)|(x * 1) = ((1x / x) / 2)|x = ((1x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",16
78,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)",8
79,124,"(1x + 2) = (-3)
","(1x + 2) = (-3)
|((1x + 2) - 2) = ((-3) - 2)|(1x + (2 - 2)) = ((-3) - 2)|(1x + 0) = ((-3) - 2)|(1x + 0) = (-5)|1x = (-5)|x = (-5)",11
80,69,"(-1x + (-2)) = (-3)
","(-1x + (-2)) = (-3)
|((-1x + (-2)) - (-2)) = ((-3) - (-2))|(-1x + ((-2) - (-2))) = ((-3) - (-2))|(-1x + 0) = ((-3) - (-2))|((-1x + 0) * (-1)) = (((-3) - (-2)) * (-1))|(-1x * (-1)) = (((-3) - (-2)) * (-1))|((x * (-1)) * (-1)) = (((-3) - (-2)) * (-1))|(x * ((-1) * (-1))) = (((-3) - (-2)) * (-1))|(x * 1) = (((-3) - (-2)) * (-1))|(x * 1) = ((-1) * (-1))|x = ((-1) * (-1))|x = 1",21
81,249,"(1 + -2x) = (3 + -4x)
","(1 + -2x) = (3 + -4x)
|((1 + -2x) - -4x) = ((3 + -4x) - -4x)|((3 + -4x) - -4x) = ((1 + -2x) - -4x)|(3 + (-4x - -4x)) = ((1 + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = ((1 + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = (1 + (-2x - -4x))|(3 + (((-4) - (-4)) * x)) = (1 + (((-2) - (-4)) * x))|(3 + (((-4) - (-4)) * x)) = ((((-2) - (-4)) * x) + 1)|(3 + (-4x - -4x)) = ((((-2) - (-4)) * x) + 1)|((3 + (-4x - -4x)) - 1) = (((((-2) - (-4)) * x) + 1) - 1)|((3 + (-4x - -4x)) - 1) = ((((-2) - (-4)) * x) + (1 - 1))|((3 + (-4x - -4x)) - 1) = ((((-2) - (-4)) * x) + 0)|((((-2) - (-4)) * x) + 0) = ((3 + (-4x - -4x)) - 1)|((((-2) - (-4)) * x) + 0) = ((3 + 0) - 1)|((((-2) - (-4)) * x) + 0) = (3 - 1)|(((-2) - (-4)) * x) = (3 - 1)|2x = (3 - 1)|(x * 2) = (3 - 1)|(x * 2) = 2|((x * 2) / 2) = (2 / 2)|(x * (2 / 2)) = (2 / 2)|(x * 1) = (2 / 2)|x = (2 / 2)|x = 1",44
82,116,"(1 + 2x) = (-3x + 4)
","(1 + 2x) = (-3x + 4)
|(-3x + 4) = (1 + 2x)|((-3x + 4) - 4) = ((1 + 2x) - 4)|(-3x + (4 - 4)) = ((1 + 2x) - 4)|(-3x + 0) = ((1 + 2x) - 4)|((-3x + 0) - 2x) = (((1 + 2x) - 4) - 2x)|((-3x + 0) - 2x) = (((1 + 2x) - 2x) - 4)|((-3x + 0) - 2x) = ((1 + (2x - 2x)) - 4)|((-3x + 0) - 2x) = ((1 + 0) - 4)|(-3x - 2x) = ((1 + 0) - 4)|(((-3) - 2) * x) = ((1 + 0) - 4)|(((-3) - 2) * x) = (1 - 4)|-5x = (1 - 4)|(x * (-5)) = (1 - 4)|(x * (-5)) = (-3)|((x * (-5)) / (-5)) = ((-3) / (-5))|(x * ((-5) / (-5))) = ((-3) / (-5))|(x * 1) = ((-3) / (-5))|x = ((-3) / (-5))|x = [3/5]",35
83,193,"(-1x + 2) = (-3x - 4)
","(-1x + 2) = (-3x - 4)
|((-1x + 2) - 2) = ((-3x - 4) - 2)|(((-1x + 2) - 2) - -3x) = (((-3x - 4) - 2) - -3x)|((-1x + (2 - 2)) - -3x) = (((-3x - 4) - 2) - -3x)|((-1x + 0) - -3x) = (((-3x - 4) - 2) - -3x)|((-1x + 0) - -3x) = (((-3x - 4) - -3x) - 2)|((-1x + 0) - -3x) = (((-3x - -3x) - 4) - 2)|((-1x + 0) - -3x) = ((0 - 4) - 2)|(-1x - -3x) = ((0 - 4) - 2)|(((-1) - (-3)) * x) = ((0 - 4) - 2)|2x = ((0 - 4) - 2)|2x = ((-4) - 2)|(2x / 2) = (((-4) - 2) / 2)|((x * 2) / 2) = (((-4) - 2) / 2)|(x * (2 / 2)) = (((-4) - 2) / 2)|(x * 1) = (((-4) - 2) / 2)|x = (((-4) - 2) / 2)|x = ((-6) / 2)|x = (-3)",35
84,166,"-1x = ((2 + -3x) - 4)
","-1x = ((2 + -3x) - 4)
|(-1x - -3x) = (((2 + -3x) - 4) - -3x)|(((-1) - (-3)) * x) = (((2 + -3x) - 4) - -3x)|(((-1) - (-3)) * x) = (((2 + -3x) - -3x) - 4)|2x = (((2 + -3x) - -3x) - 4)|2x = ((2 + (-3x - -3x)) - 4)|(x * 2) = ((2 + (-3x - -3x)) - 4)|((x * 2) / 2) = (((2 + (-3x - -3x)) - 4) / 2)|((x * 2) / 2) = (((2 + 0) - 4) / 2)|((x * 2) / 2) = ((2 - 4) / 2)|(x * (2 / 2)) = ((2 - 4) / 2)|(x * 1) = ((2 - 4) / 2)|x = ((2 - 4) / 2)|x = ((-2) / 2)|x = (-1)",28
85,58,"1 = ((-2) + (3 / x))
","1 = ((-2) + (3 / x))
|1 = ((3 / x) + (-2))|(1 - (-2)) = (((3 / x) + (-2)) - (-2))|3 = (((3 / x) + (-2)) - (-2))|(3 / 3) = ((((3 / x) + (-2)) - (-2)) / 3)|((3 / 3) * x) = (((((3 / x) + (-2)) - (-2)) / 3) * x)|1x = (((((3 / x) + (-2)) - (-2)) / 3) * x)|x = (((((3 / x) + (-2)) - (-2)) / 3) * x)|x = ((((3 / x) + ((-2) - (-2))) / 3) * x)|x = ((((3 / x) + 0) / 3) * x)|x = (x * (((3 / x) + 0) / 3))|x = (x * ((3 / x) / 3))|x = ((x * (3 / x)) / 3)|x = (((x * 3) / x) / 3)|x = ((3x / x) / 3)|x = ((3 * (x / x)) / 3)|x = ((3 * 1) / 3)|x = (3 / 3)|x = 1",40
