,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
0,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
1,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
2,"(-1)=(3x+(-4))
",(= (-1) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
3,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
4,"(-1x + 2) = (-3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
5,(-1x+2)=-3x,(= (+ (* (-1) (x)) (2)) (* (-3) (x))),True,x = -1,(= (x) (-1))
6,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
7,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1))
8,"1x=((-2)+4)
",(= (* (1) (x)) (+ (-2) (4))),True,x = 2,(= (x) (2))
9,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
10,"((-(2/x))*x)=-3x
",(= (* (/ (2) (x)) (x)) (* (-3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
11,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
12,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
13,"(-1x+(-2))=(+-4x)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-4)) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
14,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
15,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
16,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
17,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9)))
18,"((1 / x) + 2) = (-3)
",(= (+ (/ (1) (x)) (2)) (-3)),True,x = -1/5,(= (x) (/ (-1) (5)))
19,"(1/x)=(-3)
",(= (/ (1) (x)) (-3)),True,x = -1/3,(= (x) (/ (-1) (3)))
20,"(-1) = ((2 / x) + 3)
",(= (-1) (+ (/ (2) (x)) (3))),True,x = -1/2,(= (x) (/ (-1) (2)))
21,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
22,"((-1x + 2) - 3) = -4x
",(= (- (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
23,"((+2)-3)=-4x
",(= (+ (2) (-3)) (* (-4) (x))),True,x = 1/4,(= (x) (/ (1) (4)))
24,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
25,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
26,"((-1) / x) = (-2)
",(= (/ (-1) (x)) (-2)),True,x = 1/2,(= (x) (/ (1) (2)))
27,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
28,"-1x = (2x + 3)
",(= (* (-1) (x)) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1))
29,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -5,(= (x) (-5))
30,"(1 + -2x) = ((-3) + -4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2,(= (x) (-2))
31,"((-1) + (2 / x)) = 3
",(= (+ (-1) (/ (2) (x))) (3)),True,x = 1/2,(= (x) (/ (1) (2)))
32,"(+(2/x))=3
",(= (+ (/ (2)) (x)) (3)),True,x = 2/3,(= (x) (/ (2) (3)))
33,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),True,x = 3/2,(= (x) (/ (3) (2)))
34,"(1 / x) = 2
",(= (/ (1) (x)) (2)),True,x = 1/2,(= (x) (/ (1) (2)))
35,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
36,"((-1)+-2x)=(+(-4))
",(= (+ (-1) (* (-2) (x))) (+ (-4))),True,x = 3/2,(= (x) (/ (3) (2)))
37,"((-1x + 2) - 3x) = 4
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -1/2,(= (x) (/ (-1) (2)))
38,"((+2)-3x)=4
",(= (* (+ (2) (-3)) (x)) (4)),True,x = -2/3,(= (x) (/ (-2) (3)))
39,"1 = ((-2) + -3x)
",(= (1) (+ (-2) (* (-3) (x)))),True,x = -1,(= (x) (-1))
40,"1=(+-3x)
",(= (1) (+ (* (-3)) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
41,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
42,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),True,x = 0,(= (x) (0))
43,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
44,"((1 + 2) * x) = 3
",(= (* (+ (1) (2)) (x)) (3)),True,x = 1,(= (x) (1))
45,"1 = (2 + (3 / x))
",(= (1) (+ (2) (/ (3) (x)))),True,x = -3,(= (x) (-3))
46,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),True,x = 1,(= (x) (1))
47,"x=(+2)
",(= (x) (+ (2))),True,x = 2,(= (x) (2))
48,"1 = (2x + 3)
",(= (1) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1))
49,1=2x,(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
50,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
51,(1+2x)=3x,(= (+ (1) (* (2) (x))) (* (3) (x))),True,x = 1,(= (x) (1))
52,"1 = (((-2) / x) + (-3))
",(= (1) (+ (/ (-2) (x)) (-3))),True,x = -1/2,(= (x) (/ (-1) (2)))
53,"((-1) + -2x) = (-3)
",(= (+ (-1) (* (-2) (x))) (-3)),True,x = 1,(= (x) (1))
54,"(+-2x)=(-3)
",(= (+ (* (-2)) (x)) (-3)),True,x = 3/2,(= (x) (/ (3) (2)))
55,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3/5,(= (x) (/ (-3) (5)))
56,"((-1)+2x)=(+(-4))
",(= (+ (-1) (* (2) (x))) (+ (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
57,"(1x - -2x) = 3
",(= (- (* (1) (x)) (* (-2) (x))) (3)),True,x = 1,(= (x) (1))
58,"((-1) + 2x) = (3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3,(= (x) (3))
59,"(1 / x) = (2 + 3)
",(= (/ (1) (x)) (+ (2) (3))),True,x = 1/5,(= (x) (/ (1) (5)))
60,"(-1x + 2) = (3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3/2,(= (x) (/ (3) (2)))
61,"-1x=(3x+(-4))
",(= (* (-1) (x)) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
62,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),True,x = 2,(= (x) (2))
63,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),True,x = 11/8,(= (x) (/ (1) (1) (8)))
64,(1/2)=((-3)+4x),(= (/ (1) (2)) (+ (-3) (* (4) (x)))),True,x = 7/8,(= (x) (/ (7) (8)))
65,"1 = -2x
",(= (1) (* (-2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
66,"((-1) + -2x) = ((-3) + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
67,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 2,(= (x) (2))
68,"(((-1) / x) + (-2)) = 3
",(= (+ (/ (-1) (x)) (-2)) (3)),True,x = -1/5,(= (x) (/ (-1) (5)))
69,"1 = ((-2) + (3 / x))
",(= (1) (+ (-2) (/ (3) (x)))),True,x = 1,(= (x) (1))
70,"(1x + 2) = (3 - 4x)
",(= (+ (* (1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
71,(1x+2)=3,(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
72,"(1 + -2x) = 3
",(= (+ (1) (* (-2) (x))) (3)),True,x = -1,(= (x) (-1))
73,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -4/3,(= (x) (/ (-4) (3)))
74,"((-1)+3x)=((-4x+(-5))+6x)
",(= (+ (-1) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -4,(= (x) (-4))
75,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3))
76,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
77,"((-1x - 2) + 3) = 4x
",(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
78,"(-1x+3)=4x
",(= (+ (* (-1) (x)) (3)) (* (4) (x))),True,x = 3/5,(= (x) (/ (3) (5)))
79,"(-1) = (2 + ((-3) / x))
",(= (-1) (+ (2) (/ (-3) (x)))),True,x = 1,(= (x) (1))
80,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1/2,(= (x) (/ (-1) (2)))
81,"(-1x + (-2)) = (-3)
",(= (+ (* (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1))
82,"(-1x - 2) = (3 + 4x)
",(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
83,"(-1x + 2) = (-3)
",(= (+ (* (-1) (x)) (2)) (-3)),True,x = 5,(= (x) (5))
84,"-1x=(-3)
",(= (* (-1) (x)) (-3)),True,x = 3,(= (x) (3))
85,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2))
86,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
87,"(-1x+(-2))=(+4x)
",(= (+ (* (-1) (x)) (-2)) (+ (* (4)) (x))),True,x = -2/5,(= (x) (/ (-2) (5)))
88,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
89,"-1x=((-3)+4x)
",(= (* (-1) (x)) (+ (-3) (* (4) (x)))),True,x = 3/5,(= (x) (/ (3) (5)))
90,"((-1) + -2x) = (-3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 5,(= (x) (5))
91,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),True,x = 1,(= (x) (1))
92,"(-1) = (-2x / (-3))
",(= (-1) (/ (* (-2) (x)) (-3))),True,x = -3/2,(= (x) (/ (-3) (2)))
93,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),True,x = 2,(= (x) (2))
94,"(((-1) / x) + (-2)) = (-3)
",(= (+ (/ (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1))
95,"(1x + (-2)) = ((-3) + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
96,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
97,"1x=(-3)
",(= (* (1) (x)) (-3)),True,x = -3,(= (x) (-3))
98,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -2,(= (x) (-2))
99,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),True,x = -2,(= (x) (-2))
100,"(1 + -2x) = ((-3) + 4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
101,"(1 + -2x) = (-3)
",(= (+ (1) (* (-2) (x))) (-3)),True,x = 2,(= (x) (2))
102,"(-1x + 2) = (3 + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
103,"(+2)=(3+-4x)
",(= (+ (2)) (+ (3) (* (-4) (x)))),True,x = 1/4,(= (x) (/ (1) (4)))
104,"1 = (2x + (-3))
",(= (1) (+ (* (2) (x)) (-3))),True,x = 2,(= (x) (2))
105,"1 = ((2 / x) + (-3))
",(= (1) (+ (/ (2) (x)) (-3))),True,x = 1/2,(= (x) (/ (1) (2)))
106,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
107,"-1x=(3x+4)
",(= (* (-1) (x)) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
108,"(1x - -2x) = (-3)
",(= (- (* (1) (x)) (* (-2) (x))) (-3)),True,x = -1,(= (x) (-1))
109,"(-1x + 2) = 3
",(= (+ (* (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1))
110,"(1 + -2x) = (3 + 4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
111,(1+-2x)=3,(= (+ (1) (* (-2) (x))) (3)),True,x = -1,(= (x) (-1))
112,"(-1) = ((2x + 3x) - 4)
",(= (-1) (- (+ (* (2) (x)) (* (3) (x))) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
113,"((-1x - 2) - 3x) = (-4)
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (-4)),True,x = 1/2,(= (x) (/ (1) (2)))
114,"((1 + 2x) - 3) = -4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
115,"-1x = ((2 / x) * x)
",(= (* (-1) (x)) (* (/ (2) (x)) (x))),True,x = -2,(= (x) (-2))
116,"((-1) - 2) = (3x - 4x)
",(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x)))),True,x = 3,(= (x) (3))
117,"1 = (((-2) / x) + 3)
",(= (1) (+ (/ (-2) (x)) (3))),True,x = 1,(= (x) (1))
118,"(1 - 2) = 3x
",(= (- (1) (2)) (* (3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
119,"1=3x
",(= (1) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
120,"(1x + 2) = ((-3) + 4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
121,"1x=((-3)+4x)
",(= (* (1) (x)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
122,"(-1x + 2) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
123,"-1x=((-3)+-4x)
",(= (* (-1) (x)) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
124,"((-1) + 2) = 3x
",(= (+ (-1) (2)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
125,"(+2)=3x
",(= (+ (2)) (* (3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
126,"((-1) + -2x) = (3 + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
127,"((-1) + 2x) = ((-3) + 4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
128,"((-1)+2x)=(+4x)
",(= (+ (-1) (* (2) (x))) (+ (* (4)) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
129,"(1 + 2x) = 3
",(= (+ (1) (* (2) (x))) (3)),True,x = 1,(= (x) (1))
130,"(((-1) / x) * x) = 2x
",(= (* (/ (-1) (x)) (x)) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
131,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1))
132,"(1 + 2x) = (-3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
133,(1+2x)=-3x,(= (+ (1) (* (2) (x))) (* (-3) (x))),True,x = -1/5,(= (x) (/ (-1) (5)))
134,"((-1) - 2) = (((3 / x) + 4) - 5)
",(= (- (-1) (2)) (- (+ (/ (3) (x)) (4)) (5))),True,x = -3/2,(= (x) (/ (-3) (2)))
135,"-1x = ((-2) + x)
",(= (* (-1) (x)) (+ (-2) (x))),True,x = 1,(= (x) (1))
136,-1x=(-2),(= (* (-1) (x)) (-2)),True,x = 2,(= (x) (2))
137,"(-1x + 2) = 3x
",(= (+ (* (-1) (x)) (2)) (* (3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
138,"-1x=3x
",(= (* (-1) (x)) (* (3) (x))),True,x = 0,(= (x) (0))
139,"1 = (2 + 3x)
",(= (1) (+ (2) (* (3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
140,"(1x - 2) = ((-3) + 4x)
",(= (- (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
141,"1x=((-3)+4x)
",(= (* (1) (x)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
142,"-1x = (((-2) + 3x) + 4)
",(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
143,"(-1) = ((-2) + 3x)
",(= (-1) (+ (-2) (* (3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
144,"(-1) = ((2 / x) + (-3))
",(= (-1) (+ (/ (2) (x)) (-3))),True,x = 1,(= (x) (1))
145,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
146,"1 = (2x / 3)
",(= (1) (/ (* (2) (x)) (3))),True,x = 3/2,(= (x) (/ (3) (2)))
147,1=2x,(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
148,"(-1x + 2) = (3 + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
149,(-1x+2)=3,(= (+ (* (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1))
150,"1 = (2x - 3x)
",(= (1) (- (* (2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1))
151,1=2x,(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
152,"1 = ((-2) + ((-3) / x))
",(= (1) (+ (-2) (/ (-3) (x)))),True,x = -1,(= (x) (-1))
153,"(1 - 2x) = -3x
",(= (- (1) (* (2) (x))) (* (-3) (x))),True,x = -1,(= (x) (-1))
154,"1=-3x
",(= (1) (* (-3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
155,"(1 + ((-2) / x)) = (-3)
",(= (+ (1) (/ (-2) (x))) (-3)),True,x = 1/2,(= (x) (/ (1) (2)))
156,"(-1) = ((-2) + -3x)
",(= (-1) (+ (-2) (* (-3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
157,"(1 + (2 / x)) = 3
",(= (+ (1) (/ (2) (x))) (3)),True,x = 1,(= (x) (1))
158,"((-1) + 2x) = (3 + 4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -2,(= (x) (-2))
159,((-1)+2x)=3,(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2))
160,"((1 + 2x) + 3) = 4x
",(= (+ (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = 2,(= (x) (2))
161,"(1+2x)=4x
",(= (+ (1) (* (2) (x))) (* (4) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
162,"(1 + 2x) = (3 + 4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
163,"1=(3+4x)
",(= (1) (+ (3) (* (4) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
164,"1x = ((-2) - 3x)
",(= (* (1) (x)) (- (-2) (* (3) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
165,"1x=(-3x)
",(= (* (1) (x)) (* (-3) (x))),True,x = 0,(= (x) (0))
166,"(1x + 2) = (3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
167,"1x=(3x+4)
",(= (* (1) (x)) (+ (* (3) (x)) (4))),True,x = -2,(= (x) (-2))
168,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),True,x = -1,(= (x) (-1))
