,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
0,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
1,"1x=-3x
",(= (* (1) (x)) (* (-3) (x))),True,x = 0,(= (x) (0))
2,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1))
3,"1x=((+3x)+4)
",(= (* (1) (x)) (+ (+ (* (3)) (x)) (4))),True,x = -2,(= (x) (-2))
4,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
5,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
6,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
7,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
8,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9)))
9,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
10,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
11,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
12,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),True,x = 3/2,(= (x) (/ (3) (2)))
13,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
14,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),True,x = 0,(= (x) (0))
15,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
16,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),True,x = 1,(= (x) (1))
17,"x=(+2)
",(= (x) (+ (2))),True,x = 2,(= (x) (2))
18,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),True,x = 2,(= (x) (2))
19,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),True,x = 11/8,(= (x) (/ (1) (1) (8)))
20,"(1/2)=((+4x)/5)
",(= (/ (1) (2)) (/ (+ (* (4)) (x)) (5))),True,x = 5/8,(= (x) (/ (5) (8)))
21,"(1x + 2) = (3 - 4x)
",(= (+ (* (1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
22,(1x+2)=3,(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
23,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -4/3,(= (x) (/ (-4) (3)))
24,"(((-1)+2x)+3x)=((+(-5))+6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (-5)) (* (6) (x)))),True,x = 4,(= (x) (4))
25,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3))
26,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
27,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1/2,(= (x) (/ (-1) (2)))
28,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),True,x = 1,(= (x) (1))
29,"(-2x)=(-3)
",(= (* (-2) (x)) (-3)),True,x = 3/2,(= (x) (/ (3) (2)))
30,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),True,x = 2,(= (x) (2))
31,"(1x + (-2)) = ((-3) + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
32,"(1x+(-2))=(+-4x)
",(= (+ (* (1) (x)) (-2)) (+ (* (-4)) (x))),True,x = 2/5,(= (x) (/ (2) (5)))
33,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
34,"1x=(-3)
",(= (* (1) (x)) (-3)),True,x = -3,(= (x) (-3))
35,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -2,(= (x) (-2))
36,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),True,x = -2,(= (x) (-2))
37,"(1x + 2) = ((-3) + 4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
38,"(1x+2)=(+4x)
",(= (+ (* (1) (x)) (2)) (+ (* (4)) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
39,"((-1) - 2) = (((3 / x) + 4) - 5)
",(= (- (-1) (2)) (- (+ (/ (3) (x)) (4)) (5))),True,x = -3/2,(= (x) (/ (-3) (2)))
40,"-1x = ((-2) + x)
",(= (* (-1) (x)) (+ (-2) (x))),True,x = 1,(= (x) (1))
41,"(1x - 2) = ((-3) + 4x)
",(= (- (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
42,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
43,"1x=(-3x+(-4))
",(= (* (1) (x)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
44,"(1 - 2x) = -3x
",(= (- (1) (* (2) (x))) (* (-3) (x))),True,x = -1,(= (x) (-1))
45,"1x = ((-2) - 3x)
",(= (* (1) (x)) (- (-2) (* (3) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
46,"1x=(-3x)
",(= (* (1) (x)) (* (-3) (x))),True,x = 0,(= (x) (0))
47,"(1x + 2) = (3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
48,"1x=(3x+4)
",(= (* (1) (x)) (+ (* (3) (x)) (4))),True,x = -2,(= (x) (-2))
49,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),True,x = -1,(= (x) (-1))
50,"((-2x)+3)=-4x
",(= (+ (* (-2) (x)) (3)) (* (-4) (x))),True,x = -3/2,(= (x) (/ (-3) (2)))
51,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (- (+ (-4) (* (5) (x))) (* (6) (x)))),True,x = 2,(= (x) (2))
52,"(1x + 2) = ((-3) + -4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
53,"(1x+2)=(+-4x)
",(= (+ (* (1) (x)) (2)) (+ (* (-4)) (x))),True,x = -2/5,(= (x) (/ (-2) (5)))
54,"(1x / 2) = (3 / 4)
",(= (/ (* (1) (x)) (2)) (/ (3) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
55,"1x=(3/4)
",(= (* (1) (x)) (/ (3) (4))),True,x = 3/4,(= (x) (/ (3) (4)))
56,"((-1) - 2x) = -3x
",(= (- (-1) (* (2) (x))) (* (-3) (x))),True,x = 1,(= (x) (1))
57,"(-1)=-3x
",(= (-1) (* (-3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
58,"(1x + 2) = (-3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1/2,(= (x) (/ (1) (2)))
59,(1x+2)=-3x,(= (+ (* (1) (x)) (2)) (* (-3) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
60,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),True,x = 5/4,(= (x) (/ (5) (4)))
61,(((-1)+2x)+3x)=(4+-5x),(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (4) (* (-5) (x)))),True,x = 1/2,(= (x) (/ (1) (2)))
62,"(-1x / (-2)) = (3 / (-4))
",(= (/ (* (-1) (x)) (-2)) (/ (3) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
63,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
",(= (+ (+ (1) (* (-2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),True,x = -4,(= (x) (-4))
64,"(1+-2x)=((-4x+5)+6x)
",(= (+ (1) (* (-2) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),True,x = -1,(= (x) (-1))
65,"(1x + (-2)) = (3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
66,"(-1x - 2) = (3 - 4x)
",(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
67,"(1x - 2) = 3x
",(= (- (* (1) (x)) (2)) (* (3) (x))),True,x = -1,(= (x) (-1))
68,"1x=3x
",(= (* (1) (x)) (* (3) (x))),True,x = 0,(= (x) (0))
69,"((1x - 2) + 3) = 4x
",(= (+ (- (* (1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
70,"(1x + 2) = (3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
71,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (+ (4) (* (5) (x))) (6))),True,x = -8/3,(= (x) (/ (-8) (3)))
72,"(((-1)+2x)+3)=(4+6)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (6))),True,x = 4,(= (x) (4))
73,"(1x + 2) = (3 + 4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
74,(1x+2)=3,(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
75,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),True,x = 1/2,(= (x) (/ (1) (2)))
76,"(1x+2)=4
",(= (+ (* (1) (x)) (2)) (4)),True,x = 2,(= (x) (2))
77,"((1 - 2x) - 3) = ((4 + 5x) - 6)
",(= (- (- (1) (* (2) (x))) (3)) (- (+ (4) (* (5) (x))) (6))),True,x = 0,(= (x) (0))
78,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
79,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
",(= (+ (+ (* (-1) (x)) (2)) (* (3) (x))) (+ (- (-4) (* (5) (x))) (* (6) (x)))),True,x = -6,(= (x) (-6))
80,"((1x + 2) - 3x) = (4x - 5x)
",(= (- (+ (* (1) (x)) (2)) (* (3) (x))) (- (* (4) (x)) (* (5) (x)))),True,x = 2,(= (x) (2))
81,"1x = (2 + 3x)
",(= (* (1) (x)) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
82,1x=2,(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
83,"1 = (2 - (3 / x))
",(= (1) (- (2) (/ (3) (x)))),True,x = 3,(= (x) (3))
84,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
85,"((-1) - 2x) = ((-3) - 4x)
",(= (- (-1) (* (2) (x))) (- (-3) (* (4) (x)))),True,x = -1,(= (x) (-1))
86,"(-1) = (((-2) - 3x) + 4x)
",(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x)))),True,x = 1,(= (x) (1))
87,"(((1 / x) - 2) * x) = -3x
",(= (* (- (/ (1) (x)) (2)) (x)) (* (-3) (x))),True,x = -1,(= (x) (-1))
88,"1x = (-2x + 3)
",(= (* (1) (x)) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
89,"1x=(+3)
",(= (* (1) (x)) (+ (3))),True,x = 3,(= (x) (3))
90,"(1x + 2) = (3 + -4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
91,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
92,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
93,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
94,"(((-1) - 2x) + 3x) = 4
",(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4)),True,x = 5,(= (x) (5))
95,"((-1)+3x)=4
",(= (+ (-1) (* (3) (x))) (4)),True,x = 5/3,(= (x) (/ (5) (3)))
96,"(-1x + 2) = ((-3) - 4x)
",(= (+ (* (-1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
97,"1x = (2x - 3)
",(= (* (1) (x)) (- (* (2) (x)) (3))),True,x = 3,(= (x) (3))
98,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
99,"((-1x - 1x) + 2) = (-3)
",(= (+ (- (* (-1) (x)) (* (1) (x))) (2)) (-3)),True,x = 5/2,(= (x) (/ (5) (2)))
100,"(1x - -2x) = ((-3x + 4) - -5x)
",(= (- (* (1) (x)) (* (-2) (x))) (- (+ (* (-3) (x)) (4)) (* (-5) (x)))),True,x = 4,(= (x) (4))
101,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
102,"(1 - 2x) = (3x - 4)
",(= (- (1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
103,"-1x = ((2 - 3x) + 4)
",(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4))),True,x = 3,(= (x) (3))
