2x=5,x=5/2,(= (* (2) (x)) (5)),(= (x) (/ (5) (2))),#Elementary Transpositions
(x*2)=5,x=5/2,(= (* (x) (2)) (5)),(= (x) (/ (5) (2))),
(x+5)=5,x=0,(= (+ (x) (5)) (5)),(= (x) (0)),
(5+x)=8,x=3,(= (+ (5) (x)) (8)),(= (x) (3)),
(x-5)=5,x=10,(= (- (x) (5)) (5)),(= (x) (10)),
6x=4x,x=0,(= (* (x) (6)) (* (x) (4))),(= (x) (0)),
(3/x)=5,x=3/5,(= (/ (3) (x)) (5)),(= (x) (/ (3) (5))),
(3x+4)=5,x=1/3,(= (+ (* (x) (3)) (4)) (5)),(= (x) (/ (1) (3))),#Three Term Add/Sub Equations
(4+3x)=5,x=1/3,(= (+ (4) (* (x) (3))) (5)),(= (x) (/ (1) (3))),
0=(2x+7x),x=0,(= (0) (+ (* (x) (2)) (* (x) (7)))),(= (x) (0)),
(3 + 6x) = 5x,x=-3,(= (+ (3) (* (6) (x))) (* (5) (x))),(= (x) (-3)),
(5x+3)=6x,x=3,,(= (x) (3)),
(3x/2)=9,x=6,,,
(3x/2)=(9/10),x=3/5,,,
(5x/5)=3,x=3,,,
1+2=4x,x=3/4,,,
(5x+1)=(3x+3),x=1,(= (+ (* (5) (x)) (1)) (+ (* (3) (x)) (3))),(= (x) (1)),#Four Term Add/Sub Equations
(5x+1)=(3x-3),x=-2,(= (+ (* (5) (x)) (1)) (- (* (3) (x)) (3))),(= (x) (-2)),
(5x-1)=(3x+3),x=2,(= (- (* (5) (x)) (1)) (+ (* (3) (x)) (3))),(= (x) (1)),
(5x-1)=(3x-3),x=-1,,,
(1+5x)=(3x+3),x=1,,,
(1+5x)=(3x-3),x=-2,,,
((-1)+5x)=(3x+3),x=2,,,
((-1)+5x)=(3x-3),x=-1,,,
(1+5x)=(3+3x),x=1,,,
(1+5x)=((-3)+3x),x=-2,,,
((-1)+5x)=(3+3x),x=2,,,
((-1)+5x)=((-3)+3x),x=-1,,,
((5x+1)-3)=3x,x=1,,,
((5x+1)+3)=3x,x=-2,,,
((5x-1)-3)=3x,x=2,,,
((5x-1)+3)=3x,x=-1,,,
((1+5x)-3)=3x,x=1,,,
((1+5x)+3)=3x,x=-2,,,
(((-1)+5x)-3)=3x,x=2,,,
(((-1)+5x)+3)=3x,x=-1,,,
((1+5x)-3x)=3,x=1,,,
((1+5x)-3x)=(-3),x=-2,,,
(((-1)+5x)-3x)=3,x=2,,,
(((-1)+5x)-3x)=(-3),x=-1,,,
(5x+1)=(9x-3x),x=1,,,
(1+5x)=(9x-3x),x=1,,,
((5x+1)+3x)=9x,x=1,,,
((1+5x)+3x)=9x,x=1,,,
((x + 2x) + 5) = 8 ,x=1,(= (+ (x) (+ (* (2) (x)) (5))) (8)),(= (x) (1)),
((3x+4)+7)=5,x=-2,(= (+ (+ (* (x) (3)) (4)) (7)) (5)),(= (x) (-2)),
((4+3x)+7)=5,x=-2,,,
((4 / x)*x) = -2x,x=-2,,,#X-Denominator Equations
(((4/x)*x)+2x)=3x,x=4,,,
(((4/x)+1)*x)=5,x=1,,,
((4/x)+3)=7,x=1,,,
((-1) - 2) = ((3 / x) - 4) ,x=3,,,
((-1) - 2) = (((3 / x) + 5) - 9),x=3,,,
(2x+5x)=((2-1x)+6),x=1,,,#Five Term Add/Sub Equations
(2+5)=((2x-1)+6x),x=1,,,
(2+5)=((2x-1x)+6x),x=1,,,
(2x+5)=((2-1x)+6),x=1,,,
(2x+5x)=(((-1x)+2)+6),x=1,,,
(2+5)=(((-1)+2x)+6x),x=1,,,
(2+5)=(((-1x)+2x)+6x),x=1,,,
(2x+5)=(((-1x)+2)+6),x=1,,,
(((-1) + 4x) + 2x) = (-4x + 9) ,x=1,,,
(2x - 5x) = ((2x - 1x) - 6),,,,
(2x - 5) = ((2 + 1x) - 6x),,,,
(2 - 5) = ((2 - 1x) + 6),,,,
(2 + 5x) = ((2 - 1x) + 6),,,,
(2x - 5x) = ((2 - 1x) + 6),,,,
(2x - 5) = ((2x - 1) - 6x),,,,
(2 + 5x) = ((2x - 1x) - 6x),,,,
(2 - 5) = ((2x - 1) + 6x),,,,
(2x - 5x) = ((2 + 1x) + 6x),,,,
((4x-1) + 2x) = (-6x + (2x+1)) ,,,,
(((-1) + 4x) + 2x) = (-6x + (2x+1)) ,,,,
((4x-1) + 2x) = (2x-6x)+1) ,,,,
((4 - 1x) - 2x) = ((-6x + 2) + 1x),,,,
((4x - 1) + 2) = ((-6x - 2) - 1),,,,
((4x - 1x) + 2) = ((-6 + 2x) + 1x),,,,
((4 - 1) - 2x) = ((-6 - 2x) - 1),,,,
((4x - 1x) - 2x) = ((-6x - 2) + 1x),,,,
((4 + 1x) - 2) = ((-6 - 2x) - 1x),,,,
((4 + 1x) - 2x) = ((-6 + 2) + 1),,,,
((4 - 1x) - 2x) = ((-6 + 2x) + 1x),,,,
((4 + 1x) - 2x) = ((-6 + 2) + 1x),,,,
((4 + 1) + 2) = ((-6 - 2x) - 1x),,,,
((4x + 1) - 2x) = ((-6x - 2) - 1x),,,,
((4x - 1) + 2) = ((-6x - 2x) - 1),,,,
((4x + 1x) + 2x) = ((-6x - 2) - 1x),,,,
((4x + 1) + 2) = ((-6 - 2) + 1x),,,,
1x = 2,x=2,,,
(x + 3x) = 4,x=1,,,